################################# 2 ######################################
#WSYS github/Ice-modelling/rundataharvester.py
#OPER Ragnar Ekker
#RTIM 20151012/1351
#DCHA RR  [mm/day]          on Blindern 18700 from eklima.met.no
#DCHA TAM [C]     daily avg on Blindern 18700 from eklima.met.no
#DCHA NNM [%/100] daily avg on Blindern 18700 from eklima.met.no
##########################################################################
20010321/0000	      -1.0	      -2.0	      0.28
20010322/0000	      -1.0	      -2.3	      0.33
20010323/0000	      -1.0	      -3.6	      0.08
20010324/0000	      -1.0	      -2.8	      0.08
20010325/0000	      -1.0	      -1.9	      0.03
20010326/0000	      -1.0	      -1.0	      0.08
20010327/0000	      -1.0	      -1.9	      0.41
20010328/0000	      -1.0	      -1.5	      0.46
20010329/0000	       0.0	       0.6	      0.83
20010330/0000	       3.2	       1.0	       1.0
20010331/0000	       0.5	       2.5	       1.0
20010401/0000	       4.1	       3.4	      0.62
20010402/0000	      -1.0	       3.1	      0.96
20010403/0000	       0.1	       3.9	      0.71
20010404/0000	       3.6	       3.2	      0.96
20010405/0000	      17.4	       5.0	      0.87
20010406/0000	       1.9	       2.7	      0.71
20010407/0000	       2.0	       3.6	       1.0
20010408/0000	       1.6	       4.1	      0.96
20010409/0000	       4.0	       5.4	      0.37
20010410/0000	      -1.0	       5.3	      0.71
20010411/0000	      -1.0	       3.9	      0.58
20010412/0000	       0.0	       1.1	      0.41
20010413/0000	      -1.0	       0.6	      0.28
20010414/0000	      -1.0	      -0.6	      0.91
20010415/0000	       4.4	       0.5	       1.0
20010416/0000	       0.5	       4.7	      0.91
20010417/0000	       0.1	       4.6	      0.96
20010418/0000	       0.0	       1.5	      0.96
20010419/0000	      15.2	       2.7	      0.75
20010420/0000	       0.0	       5.1	      0.12
20010421/0000	      -1.0	       5.1	      0.71
20010422/0000	      -1.0	       7.2	      0.78
20010423/0000	      -1.0	       8.1	      0.71
20010424/0000	       6.0	       6.0	       1.0
20010425/0000	       3.6	       5.8	       1.0
20010426/0000	       9.3	       6.4	       1.0
20010427/0000	       7.9	       5.7	       1.0
20010428/0000	       0.0	       6.6	       1.0
20010429/0000	       2.5	       7.2	      0.78
20010430/0000	       0.0	       7.3	      0.91
20010501/0000	      10.3	       9.0	      0.78
20010502/0000	      -1.0	      10.0	      0.46
20010503/0000	       0.0	       9.1	      0.83
20010504/0000	       0.0	       7.5	      0.71
20010505/0000	       0.0	       7.5	      0.37
20010506/0000	      -1.0	       9.6	      0.12
20010507/0000	      -1.0	      13.0	      0.12
20010508/0000	      -1.0	      14.0	      0.12
20010509/0000	      -1.0	      16.0	      0.25
20010510/0000	      -1.0	      16.6	      0.83
20010511/0000	      -1.0	      17.2	      0.28
20010512/0000	      -1.0	      17.2	      0.46
20010513/0000	      -1.0	      15.0	      0.66
20010514/0000	      -1.0	      12.1	      0.62
20010515/0000	      -1.0	      12.8	      0.53
20010516/0000	       0.0	       8.2	       1.0
20010517/0000	      15.1	       9.6	      0.96
20010518/0000	      13.0	       9.5	      0.96
20010519/0000	       4.8	      13.0	      0.53
20010520/0000	      -1.0	      10.3	      0.66
20010521/0000	       0.6	       9.9	      0.46
20010522/0000	      -1.0	      12.5	      0.53
20010523/0000	      -1.0	      13.8	      0.71
20010524/0000	      -1.0	      13.3	      0.21
20010525/0000	      -1.0	      11.1	      0.25
20010526/0000	      -1.0	      12.3	      0.87
20010527/0000	      -1.0	      15.2	      0.58
20010528/0000	      -1.0	      13.0	      0.96
20010529/0000	      16.1	       8.2	       1.0
20010530/0000	      22.1	       8.4	       1.0
20010531/0000	       1.0	      12.3	      0.66
20010601/0000	      -1.0	      12.3	      0.87
20010602/0000	      -1.0	      11.6	      0.78
20010603/0000	      -1.0	      13.4	      0.41
20010604/0000	      -1.0	      13.8	      0.25
20010605/0000	      -1.0	      14.6	      0.75
20010606/0000	      -1.0	      12.1	      0.91
20010607/0000	       0.2	      11.8	      0.91
20010608/0000	      15.5	       8.6	       1.0
20010609/0000	       6.6	      11.0	      0.83
20010610/0000	      -1.0	      10.6	      0.83
20010611/0000	       0.1	      11.7	      0.75
20010612/0000	       0.3	      13.0	      0.66
20010613/0000	      -1.0	      13.3	      0.41
20010614/0000	      -1.0	      12.0	      0.66
20010615/0000	       3.4	      13.2	      0.46
20010616/0000	      -1.0	      15.6	      0.58
20010617/0000	      -1.0	      15.2	      0.87
20010618/0000	       1.9	      15.8	       0.5
20010619/0000	      -1.0	      18.7	      0.33
20010620/0000	      -1.0	      13.8	      0.96
20010621/0000	       8.4	      13.6	      0.87
20010622/0000	       6.1	      14.5	      0.87
20010623/0000	       0.0	      19.7	      0.58
20010624/0000	      -1.0	      19.6	       0.5
20010625/0000	       0.5	      20.6	      0.25
20010626/0000	      -1.0	      19.7	      0.53
20010627/0000	      -1.0	      19.1	      0.62
20010628/0000	      -1.0	      16.8	      0.91
20010629/0000	       2.0	      18.1	      0.71
20010630/0000	      -1.0	      15.4	      0.96
20010701/0000	      11.0	      16.8	      0.78
20010702/0000	       3.5	      17.9	      0.16
20010703/0000	      -1.0	      18.1	      0.41
20010704/0000	      -1.0	      20.4	      0.41
20010705/0000	      -1.0	      20.2	      0.12
20010706/0000	      -1.0	      20.8	      0.21
20010707/0000	      -1.0	      22.1	      0.37
20010708/0000	       1.0	      23.1	      0.83
20010709/0000	      16.9	      19.9	      0.96
20010710/0000	       0.4	      19.6	      0.66
20010711/0000	       0.0	      16.8	      0.58
20010712/0000	      16.5	      13.6	      0.75
20010713/0000	       4.6	      13.5	      0.78
20010714/0000	       0.5	      16.0	       0.5
20010715/0000	       0.0	      13.4	      0.87
20010716/0000	       9.8	      15.1	      0.71
20010717/0000	       6.5	      14.7	      0.91
20010718/0000	       0.1	      15.0	      0.91
20010719/0000	      -1.0	      15.4	      0.96
20010720/0000	       0.1	      17.3	      0.66
20010721/0000	       0.3	      17.8	      0.75
20010722/0000	       2.5	      15.5	       1.0
20010723/0000	       8.5	      19.0	      0.58
20010724/0000	      -1.0	      18.4	      0.78
20010725/0000	      -1.0	      18.0	      0.53
20010726/0000	      -1.0	      19.2	      0.33
20010727/0000	      -1.0	      20.0	      0.75
20010728/0000	      -1.0	      19.3	      0.37
20010729/0000	      -1.0	      20.5	      0.91
20010730/0000	       0.1	      16.6	      0.53
20010731/0000	       0.0	      16.1	      0.53
20010801/0000	      -1.0	      15.6	      0.46
20010802/0000	      -1.0	      16.1	      0.53
20010803/0000	       0.0	      14.1	       1.0
20010804/0000	      18.3	      18.6	      0.66
20010805/0000	       4.5	      16.5	      0.78
20010806/0000	      12.1	      14.4	      0.66
20010807/0000	       0.0	      14.9	       0.5
20010808/0000	       0.0	      13.4	      0.91
20010809/0000	      10.3	      15.6	      0.78
20010810/0000	       0.1	      16.2	      0.83
