Temperatur	GD17	Energigradtall (basis 17)	graddager	1936-12-01 00:00:00	None	Også kalt graddagstall eller fyringsgrader. Tallet avledes av døgnmiddeltemperaturen (antall grader < 17 ºC)
Temperatur	VSUM	Varmesum	graddager	1936-12-01 00:00:00	None	Tall som avledes av døgnmiddeltemperaturen (antall grader > 0 ºC)
Vind	DD12	Vindretning kl. 12 UTC	grader	1938-01-01 00:00:00	None	Retning vinden kommer fra ved observasjon kl 12 utc
Vind	FFX	Høyeste vindhastighet (hovedobservasjoner)	m/s	1951-01-01 00:00:00	None	Døgnverdi: Høyeste verdi av vindhastighet (timinutters middel, FF) for kl 0, 6, 12 og 18 utc.Månedsverdi: Høyeste verdi av døgn-FFX
Vind	FFN	Laveste vindhastighet (hovedobservasjoner)	m/s	1951-01-01 00:00:00	None	Døgnverdi: Laveste verdi av vindhastighet (timinutters middel, FF) for kl 0, 6, 12 og 18 utc. Månedsverdi: Laveste verdi av døgn-FFN
Vind	FXM	Middel av høyeste middelvindverdier (hovedobservasjoner)	m/s	1951-01-01 00:00:00	None	Døgnverdi: Aritmetisk middel av høyeste timinutters middelvind (FX) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Aritmetisk middel av døgn-FXM
Skyer	NN04	Klarvær	sum	1951-01-01 00:00:00	None	"Døgnverdi: Dersom summen av NN kl 6, 12 og 18 utc er 4 eller lavere, blir NN04=1, ellers 0.Månedsverdi: Sum av døgn-NN04 (antall dager med klarvær)."
Skyer	NN20	Overskyet vær	sum	1951-01-01 00:00:00	None	"Døgnverdi: Dersom summen av NN kl 6, 12 og 18 utc er 20 eller høyere, blir NN20=1, ellers 0.Månedsverdi: Sum av døgn-NN20 (antall dager med overskyet vær)."
Skyer	NN09	Pent vær (Birkelands formel)	sum	1951-01-01 00:00:00	None	"Døgnverdi: Dersom summen av NN kl 6, 12 og 18 utc er 9 eller lavere (og ingen NN er høyere enn 4), blir NN09=1, ellers 0.Månedsverdi: Sum av døgn-NN09 (antall dager med pent vær)."
Temperatur	TAND	Lufttemperatur	ºC	2005-07-10 00:00:00	None	Laveste registrerte temperatur i timen/døgnet (kl 00-23)
Temperatur	TAXD	Lufttemperatur	ºC	2005-07-10 00:00:00	None	Høyeste registrerte temperatur i timen/døgnet (kl 00-23)
Markas tilstand	EE	Markas tilstand	kode	2005-07-11 00:00:00	None	Kode benyttet f.o.m 2013
Lufttrykk	PRM	Midlere lufttrykk, havnivå	hPa	1957-01-01 00:00:00	None	Lufttrykk redusert til havets nivå (QFF), middelverdi for perioden
Snø	EM	Markas tilstand (E')	kodetall	1982-01-01 00:00:00	2014-01-31 00:00:00	Markas tilstand (snø- og isdekke)
Vind	FFM	Middel av vindhastigheter (hovedobservasjoner)	m/s	1951-01-01 00:00:00	None	Døgnverdi: Aritmetisk middel av vindhastighet (timinutters middel, FF) for kl 0, 6, 12 og 18 utc. Månedsverdi: Aritmetisk middel av døgn-FFM
Skyer	NNN	Minste skydekke	åttedeler	1951-01-01 00:00:00	None	Minste NN-verdi (skydekke) fra observasjoner kl 06, 12 og 18 utc
Lufttrykk	PON	Laveste lufttrykk, stasjonsnivå	hPa	1951-01-01 00:00:00	None	Lufttrykk på stasjonen (QFE), laveste verdi for perioden
Nedbør	RR	Nedbør	mm	1937-03-01 00:00:00	None	Døgn- eller månedssum for nedbør (nedbørdøgn 07-07)
Nedbør	RR_720	Nedbør 720 timer (siste 30 døgn)	mm	1937-03-31 00:00:00	None	Nedbør for en løpende måned (30 døgn)
